Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cote d'Ivoire,CIV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,9.93%,1.23%,14.49%,17.61%,-3.11%,11.58%,4.6%,12.55%,9.54%,10.38%,9.46%,4.24%,5.94%,4.33%,8.25%,12.92%,7.31%,10.91%,2.39%,-10.96%,3.5%,.2%,-3.9%,-2.7%,4.5%,3.26%,-.35%,1.14%,2.95%,-1.1%,.04%,-.24%,-.19%,.81%,7.13%,7.73%,9.65%,4.26%,1.17%,-.27%,-2.15%,-2.73%,-4.73%,3.19%,1.%,2.82%,1.1%,4.78%,3.6%,6.85%,-5.37%,7.62%,10.76%,9.37%,7.19%,7.17%,7.41%,4.84%,6.72%,.7%,7.06%,6.22%,6.2%
Cameroon,CMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.18%,3.04%,3.74%,3.55%,2.03%,4.61%,-10.91%,6.35%,4.9%,3.09%,3.48%,2.67%,5.36%,10.73%,11.25%,-5.5%,13.74%,22.%,6.04%,-1.97%,17.08%,7.52%,6.87%,7.47%,8.06%,6.77%,-2.15%,-7.82%,-1.82%,-6.11%,-3.81%,-3.1%,-7.93%,1.88%,2.89%,4.22%,4.53%,4.73%,4.51%,3.83%,4.32%,4.48%,5.45%,7.05%,2.23%,3.81%,4.33%,2.85%,2.58%,2.9%,3.38%,4.63%,5.%,5.72%,5.67%,4.54%,3.54%,3.96%,3.48%,.26%,3.34%,3.74%,3.25%
"Congo, Dem. Rep.",COD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-10.85%,21.2%,5.21%,-2.44%,1.%,6.78%,-.99%,4.33%,9.33%,-.25%,6.01%,.15%,8.14%,3.13%,-4.98%,-5.31%,.76%,-5.35%,.43%,2.19%,2.35%,-.46%,1.41%,5.54%,.47%,4.72%,2.68%,.47%,-1.27%,-6.57%,-8.42%,-10.5%,-13.47%,-3.9%,.7%,-1.02%,-5.62%,-1.62%,-4.27%,-6.91%,-2.1%,2.95%,5.58%,6.74%,6.14%,5.32%,6.26%,6.23%,2.86%,7.11%,6.87%,7.09%,8.48%,9.47%,6.92%,2.4%,3.73%,5.82%,4.38%,1.74%,6.2%,8.92%,8.56%
"Congo, Rep.",COG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,8.35%,5.2%,-4.03%,3.82%,3.68%,1.36%,2.12%,7.63%,7.55%,6.36%,7.75%,8.62%,8.23%,7.89%,7.73%,.92%,-8.95%,6.36%,9.81%,17.64%,17.62%,23.6%,5.85%,6.98%,-1.19%,-6.86%,.19%,1.77%,2.6%,1.%,2.4%,2.61%,-.98%,-5.49%,3.99%,4.29%,-.62%,3.74%,-2.58%,7.58%,3.8%,4.58%,.81%,3.48%,7.76%,7.99%,-6.61%,6.31%,11.64%,9.93%,2.21%,9.95%,-.71%,6.65%,.42%,-8.69%,-5.59%,-2.3%,1.12%,-6.27%,1.02%,1.48%,1.91%
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.09%,5.41%,3.29%,6.17%,3.6%,5.24%,4.13%,5.93%,6.1%,6.21%,5.96%,7.67%,6.72%,5.75%,2.32%,4.73%,4.16%,8.47%,5.38%,4.09%,2.28%,.95%,1.57%,3.35%,3.11%,5.82%,5.37%,4.06%,3.41%,4.28%,2.%,4.04%,5.39%,5.81%,5.2%,2.06%,3.43%,.57%,-4.2%,2.92%,1.68%,2.5%,3.92%,5.33%,4.83%,6.72%,6.74%,3.28%,1.14%,4.49%,6.95%,3.91%,5.13%,4.5%,2.96%,2.09%,1.36%,2.56%,3.19%,-7.19%,10.8%,7.29%,.61%
Comoros,COM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,3.86%,6.38%,4.82%,4.11%,2.28%,1.87%,1.64%,2.69%,-3.18%,5.09%,-5.4%,8.53%,3.01%,-5.28%,3.61%,-1.29%,4.03%,1.28%,1.92%,10.85%,2.33%,2.32%,2.1%,1.92%,2.84%,2.65%,.8%,3.96%,3.24%,3.78%,4.14%,3.17%,4.47%,2.11%,1.15%,3.32%,3.82%,3.64%,1.76%,-.2%,2.%,2.6%,3.%
Cabo Verde,CPV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,8.45%,2.83%,9.52%,3.78%,8.64%,2.87%,4.31%,6.%,5.7%,.69%,1.4%,10.94%,8.71%,19.18%,14.21%,11.35%,11.12%,12.52%,11.22%,14.28%,2.23%,5.25%,4.18%,10.2%,6.91%,7.98%,15.17%,7.04%,-1.5%,1.84%,3.92%,1.08%,.63%,.7%,.94%,4.28%,4.55%,3.71%,6.95%,-20.81%,7.03%,15.84%,5.48%
Costa Rica,CRI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.88%,5.44%,6.9%,3.66%,8.19%,6.97%,5.65%,8.47%,5.49%,7.5%,6.78%,8.18%,7.71%,5.54%,2.1%,5.52%,8.9%,6.27%,4.94%,.75%,-2.26%,-7.29%,2.86%,8.02%,.72%,5.54%,4.76%,3.43%,5.67%,3.55%,2.27%,9.2%,7.1%,4.52%,4.15%,1.35%,5.48%,7.16%,4.21%,3.87%,3.49%,3.42%,4.32%,4.42%,3.98%,7.33%,8.22%,4.74%,-.87%,5.36%,4.4%,4.88%,2.49%,3.54%,3.65%,4.2%,4.16%,2.62%,2.42%,-4.27%,7.94%,4.55%,5.11%
Caribbean small states,CSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,7.39%,6.77%,.48%,8.46%,10.62%,8.44%,8.87%,6.58%,7.38%,1.33%,2.91%,-1.08%,2.87%,-6.01%,-3.35%,4.81%,5.48%,6.98%,9.51%,2.63%,-1.84%,-1.24%,.32%,5.98%,3.55%,3.29%,2.02%,3.85%,4.61%,-.88%,-1.06%,-.67%,.9%,3.28%,2.82%,4.05%,3.42%,3.58%,3.85%,3.68%,1.21%,2.12%,1.86%,2.79%,3.3%,4.49%,3.28%,.54%,-2.65%,.91%,1.67%,2.26%,.09%,1.76%,.21%,.39%,1.86%,2.78%,1.06%,-9.6%,10.44%,23.07%,12.56%
Cuba,CUB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,8.58%,4.83%,3.43%,.98%,9.48%,5.43%,8.71%,6.6%,1.09%,-4.85%,19.69%,8.92%,5.41%,7.93%,1.6%,.1%,-2.4%,3.71%,.68%,-2.95%,-10.69%,-11.58%,-14.88%,.72%,2.46%,7.84%,2.78%,.16%,6.19%,5.91%,3.19%,1.42%,3.79%,5.77%,11.2%,12.07%,7.26%,4.12%,1.45%,2.39%,2.8%,3.01%,2.75%,1.05%,4.44%,.51%,1.81%,2.25%,-.16%,-10.95%,1.25%,1.77%,-1.93%
Curacao,CUW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.7%,.4%,.29%,.21%,.68%,1.64%,2.47%,2.19%,-.53%,.08%,.51%,-.35%,-.64%,-.64%,.46%,-1.07%,-1.28%,-2.1%,-3.21%,-18.44%,4.18%,6.91%,4.2%
Cayman Islands,CYM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16%,-.36%,-7.2%,-2.72%,1.17%,1.23%,1.28%,2.65%,2.83%,3.24%,3.18%,4.27%,3.92%,-4.95%,4.9%,5.16%,4.36%
Cyprus,CYP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,20.27%,16.36%,7.78%,9.91%,5.75%,2.52%,6.02%,5.58%,8.76%,4.88%,3.7%,7.07%,8.65%,7.95%,7.4%,.74%,9.4%,.7%,5.9%,8.36%,1.25%,2.64%,6.11%,5.%,5.97%,3.95%,3.72%,2.62%,5.03%,4.85%,4.71%,5.1%,3.65%,-2.02%,2.28%,.42%,-3.45%,-6.59%,-1.78%,3.42%,6.57%,5.75%,6.27%,5.88%,-3.22%,11.39%,7.37%,2.61%
Czechia,CZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.61%,-.51%,.06%,2.91%,6.22%,4.17%,-.6%,-.39%,1.38%,4.01%,2.92%,1.51%,3.3%,4.74%,6.38%,6.62%,5.49%,2.61%,-4.8%,2.71%,1.77%,-.77%,-.04%,2.25%,4.96%,2.58%,5.17%,2.83%,3.57%,-5.3%,4.03%,2.85%,-.09%
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.3%,4.62%,2.74%,6.64%,5.24%,2.81%,-.33%,5.67%,7.42%,5.1%,3.13%,4.3%,4.78%,.89%,-.87%,4.95%,3.35%,3.01%,4.15%,1.41%,.53%,-.39%,1.57%,2.82%,2.33%,2.29%,1.4%,3.71%,3.9%,5.26%,5.11%,2.01%,-.97%,2.6%,1.51%,1.04%,1.85%,2.1%,2.13%,2.88%,1.64%,-.23%,-.53%,1.16%,.89%,3.86%,2.89%,.91%,-5.55%,4.15%,3.76%,.47%,.39%,2.17%,1.65%,2.29%,2.72%,1.12%,.99%,-4.1%,3.67%,1.37%,-.27%
Djibouti,DJI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.06%,7.53%,7.12%,5.46%,4.77%,5.55%,1.32%,4.52%,3.73%,6.68%
Dominica,DMA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,10.54%,-18.36%,13.38%,10.83%,4.13%,2.56%,4.2%,1.42%,7.07%,6.31%,7.82%,-.19%,5.42%,1.35%,2.03%,2.16%,.03%,3.03%,3.1%,2.19%,3.77%,.35%,2.34%,-.06%,-2.83%,6.35%,3.05%,.66%,4.66%,6.35%,7.12%,-1.17%,.67%,-.22%,-1.06%,-1.%,4.75%,-2.73%,2.76%,-6.62%,3.55%,5.5%,-16.6%,6.89%,5.58%,4.71%
Denmark,DNK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.38%,5.67%,.64%,9.27%,4.56%,2.74%,5.89%,5.85%,6.8%,1.86%,3.18%,3.8%,4.72%,-.96%,-1.41%,5.99%,1.99%,2.42%,4.05%,-.75%,-.74%,3.89%,2.65%,4.34%,4.15%,4.73%,.46%,.27%,.7%,1.66%,1.46%,2.02%,-.08%,5.29%,3.04%,2.9%,3.17%,2.33%,2.97%,3.72%,.95%,.46%,.44%,2.78%,2.36%,3.82%,.99%,-.42%,-4.97%,1.58%,1.31%,-.01%,1.39%,1.28%,2.1%,3.07%,3.06%,1.86%,1.71%,-1.78%,7.38%,1.54%,2.5%
Dominican Republic,DOM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-2.31%,17.05%,6.5%,6.76%,-12.48%,13.46%,3.33%,.24%,10.89%,18.23%,10.87%,10.39%,12.9%,6.%,5.19%,6.73%,4.98%,2.14%,4.53%,7.97%,4.28%,1.7%,4.63%,1.25%,-2.12%,3.52%,10.12%,2.16%,4.4%,-5.45%,.94%,11.22%,7.36%,2.6%,5.69%,5.98%,8.89%,6.71%,5.94%,4.66%,2.46%,4.5%,-1.35%,2.57%,9.43%,9.17%,7.42%,3.21%,.95%,8.34%,3.13%,2.72%,4.88%,7.05%,6.93%,6.66%,4.67%,6.98%,5.05%,-6.72%,12.27%,4.86%,2.36%
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-13.61%,-19.69%,34.31%,5.84%,6.21%,-4.8%,9.45%,10.8%,8.43%,8.86%,-11.33%,27.42%,3.81%,7.49%,5.05%,8.39%,5.26%,9.21%,7.48%,.79%,3.%,6.4%,5.4%,5.6%,3.7%,.4%,-.7%,-1.%,4.4%,.8%,-1.2%,1.8%,-2.1%,-.9%,3.8%,4.1%,1.1%,5.1%,3.2%,3.8%,3.%,5.4%,6.5%,4.5%,5.4%,2.9%,3.1%,2.5%,1.2%,4.8%,3.%,2.4%,2.6%,4.1%,3.2%,3.9%,1.5%,1.4%,.9%,-5.%,3.8%,3.6%,4.1%
East Asia & Pacific (excluding high income),EAP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-13.33%,-.64%,6.44%,10.78%,10.78%,8.%,-1.42%,1.77%,11.38%,13.44%,6.77%,4.9%,8.27%,3.93%,6.71%,2.79%,7.47%,9.17%,7.01%,7.46%,5.58%,6.4%,7.68%,9.96%,7.89%,7.14%,9.17%,9.76%,5.7%,5.15%,8.03%,11.18%,11.26%,10.9%,9.87%,9.06%,7.34%,2.89%,6.38%,7.65%,6.98%,8.06%,8.95%,9.12%,9.98%,11.08%,12.49%,8.62%,7.99%,9.92%,8.64%,7.58%,7.3%,6.99%,6.71%,6.57%,6.71%,6.53%,5.78%,1.24%,7.6%,3.39%,5.11%
Early-demographic dividend,EAR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.79%,4.03%,5.32%,8.35%,6.16%,4.34%,5.66%,7.23%,6.74%,8.38%,5.43%,6.79%,7.03%,6.89%,2.91%,6.98%,3.97%,2.17%,4.13%,3.4%,3.74%,.5%,.57%,2.08%,1.06%,1.44%,2.89%,3.15%,2.36%,5.04%,4.27%,4.09%,3.59%,3.45%,2.48%,5.78%,4.94%,2.46%,2.34%,4.37%,1.14%,1.93%,5.17%,6.19%,5.89%,6.07%,5.71%,3.45%,.72%,6.51%,4.92%,4.18%,4.05%,4.12%,4.41%,4.42%,4.64%,3.84%,2.36%,-4.18%,7.41%,5.52%,4.31%
East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.84%,5.45%,7.76%,10.4%,6.97%,8.61%,7.35%,9.33%,11.48%,3.89%,5.28%,7.16%,7.67%,1.01%,3.54%,4.18%,5.2%,5.79%,5.93%,3.74%,4.63%,4.14%,4.42%,6.15%,5.69%,4.91%,6.26%,7.6%,5.14%,5.07%,4.86%,4.23%,4.2%,5.23%,5.67%,5.62%,4.06%,.44%,3.74%,5.4%,3.3%,4.38%,4.95%,5.87%,5.9%,6.45%,7.46%,4.38%,2.56%,7.61%,5.46%,5.18%,5.25%,4.76%,4.73%,4.66%,5.05%,4.76%,3.96%,-.13%,6.22%,2.87%,4.1%
Europe & Central Asia (excluding high income),ECA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3%,1.24%,2.76%,-4.69%,-4.72%,-2.05%,-10.01%,.93%,3.95%,5.61%,2.35%,-1.26%,6.77%,-.11%,6.4%,6.6%,9.54%,8.47%,8.17%,7.12%,3.05%,-3.46%,7.08%,8.5%,4.05%,6.5%,3.36%,3.57%,2.78%,5.82%,3.5%,2.31%,.29%,9.04%,3.1%,5.04%
Europe & Central Asia,ECS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.18%,4.7%,4.87%,5.83%,4.46%,3.81%,3.46%,5.41%,5.95%,5.%,3.73%,4.67%,5.92%,2.23%,-.83%,4.41%,2.89%,3.1%,3.72%,1.49%,.52%,.95%,1.95%,2.67%,2.77%,2.75%,3.1%,4.22%,3.52%,2.29%,.18%,-.7%,-.76%,1.26%,2.18%,1.81%,3.1%,2.61%,2.91%,4.38%,2.25%,1.58%,1.81%,3.2%,2.71%,3.91%,3.64%,1.%,-4.43%,2.63%,2.38%,.31%,.87%,1.94%,2.1%,1.88%,2.87%,2.12%,1.86%,-5.41%,6.74%,3.25%,1.02%
Ecuador,ECU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.12%,4.92%,2.11%,7.41%,3.28%,-.34%,4.62%,1.91%,4.67%,6.87%,6.29%,5.02%,13.95%,11.21%,10.97%,7.4%,1.6%,5.71%,3.73%,3.71%,5.61%,.61%,-.34%,2.63%,3.94%,3.46%,-.26%,5.89%,1.01%,3.68%,4.29%,2.11%,1.97%,4.26%,2.25%,1.73%,4.33%,3.27%,-4.74%,1.09%,4.21%,4.93%,2.88%,6.83%,5.4%,4.34%,1.9%,6.56%,1.09%,4.03%,8.48%,5.78%,7.21%,4.23%,.12%,-.69%,5.97%,1.04%,.17%,-9.25%,9.82%,6.19%,2.36%
"Egypt, Arab Rep.",EGY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.16%,3.88%,10.52%,11.51%,4.91%,5.05%,.81%,-1.61%,5.28%,5.6%,4.06%,3.06%,3.51%,1.56%,8.94%,13.28%,9.%,8.63%,4.55%,10.01%,7.35%,9.91%,5.09%,9.75%,5.79%,4.74%,3.83%,5.46%,4.92%,5.67%,1.13%,4.47%,2.9%,3.97%,4.64%,4.99%,5.49%,5.58%,6.05%,6.37%,3.54%,2.39%,3.19%,4.09%,4.47%,6.84%,7.09%,7.16%,4.67%,5.15%,1.76%,2.23%,2.19%,2.92%,4.37%,4.35%,4.18%,5.33%,5.55%,3.55%,3.29%,6.59%,3.76%
Euro area,EMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.72%,5.76%,4.89%,5.84%,5.04%,4.4%,3.46%,5.66%,7.13%,5.61%,3.76%,4.9%,6.2%,3.29%,-.81%,5.04%,3.11%,3.1%,3.9%,2.18%,.55%,.69%,1.4%,2.4%,2.3%,2.52%,2.53%,4.32%,4.11%,3.59%,2.36%,1.12%,-.68%,2.52%,2.47%,1.74%,2.76%,3.%,3.01%,3.9%,2.19%,.95%,.75%,2.31%,1.77%,3.32%,3.01%,.42%,-4.48%,2.12%,1.78%,-.92%,-.17%,1.45%,2.14%,1.82%,2.6%,1.77%,1.63%,-6.05%,6.36%,3.55%,.4%
Eritrea,ERI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.45%,21.22%,2.86%,9.26%,7.91%,1.77%,.01%,-3.14%,8.76%,3.01%,-2.66%,1.45%,2.57%,-.97%,1.43%,-9.78%,3.88%,2.19%,8.68%,,,,,,,,,,,,
Spain,ESP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,11.84%,9.95%,9.6%,5.31%,6.25%,7.25%,4.34%,6.6%,8.91%,4.24%,4.65%,8.15%,7.79%,5.62%,.54%,3.3%,2.84%,1.46%,.04%,2.21%,-.13%,1.25%,1.77%,1.78%,2.32%,3.25%,5.55%,5.09%,4.83%,3.78%,2.55%,.93%,-1.03%,2.38%,2.76%,2.61%,3.59%,4.3%,4.41%,5.2%,3.92%,2.76%,2.94%,3.11%,3.55%,4.04%,3.53%,.77%,-3.77%,.09%,-.64%,-2.87%,-1.43%,1.52%,4.06%,2.92%,2.9%,2.4%,1.96%,-10.94%,6.68%,6.18%,2.68%
Estonia,EST,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.%,-21.17%,-5.74%,-1.64%,4.53%,4.94%,13.05%,4.34%,-.43%,10.09%,5.88%,6.93%,7.6%,6.8%,9.52%,9.76%,7.57%,-5.13%,-14.63%,2.45%,7.61%,3.67%,1.76%,3.32%,1.84%,3.09%,5.63%,3.7%,3.73%,-2.88%,7.15%,.06%,-3.02%
Ethiopia,ETH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,4.33%,4.52%,4.09%,5.77%,7.26%,4.06%,4.14%,1.39%,3.48%,6.53%,4.23%,5.11%,3.27%,1.25%,.15%,2.73%,2.74%,-1.1%,6.42%,4.38%,.92%,8.24%,-2.85%,-11.14%,9.66%,13.86%,.5%,-.36%,2.73%,-7.14%,-8.67%,13.14%,3.19%,6.13%,12.43%,3.13%,-3.46%,5.16%,6.07%,8.3%,1.51%,-2.16%,13.57%,11.82%,10.83%,11.46%,10.79%,8.8%,12.55%,11.18%,8.65%,10.58%,10.26%,10.39%,9.43%,9.56%,6.82%,8.36%,6.06%,5.64%,5.32%,6.5%
European Union,EUU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.73%,5.7%,4.8%,5.96%,5.24%,4.28%,3.56%,5.57%,7.03%,5.53%,3.66%,4.78%,6.08%,3.2%,-.61%,4.88%,2.95%,3.05%,3.89%,2.07%,.56%,.82%,1.45%,2.53%,2.32%,2.58%,2.54%,4.13%,3.89%,3.3%,1.46%,.9%,-.6%,2.7%,2.72%,1.92%,2.69%,2.98%,3.%,3.93%,2.16%,1.1%,.94%,2.6%,1.98%,3.57%,3.14%,.62%,-4.31%,2.18%,1.96%,-.76%,-.04%,1.63%,2.37%,1.94%,2.8%,2.05%,1.88%,-5.58%,6.36%,3.5%,.43%
Fragile and conflict affected situations,FCS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-.18%,7.89%,6.48%,5.21%,6.33%,.87%,-5.78%,6.22%,13.07%,12.23%,7.65%,3.78%,3.94%,11.01%,-.11%,9.05%,4.99%,-.18%,6.35%,5.31%,-6.59%,-.81%,-4.69%,-1.16%,4.25%,-.1%,1.49%,3.63%,1.04%,5.17%,-6.%,.2%,-1.92%,-3.44%,-.32%,3.41%,4.54%,4.94%,3.11%,5.45%,4.11%,4.79%,1.07%,11.27%,5.83%,5.82%,5.99%,5.04%,3.06%,7.02%,.04%,5.57%,3.54%,2.35%,.82%,2.17%,2.56%,2.72%,2.29%,-5.06%,2.48%,1.1%,1.81%
Finland,FIN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,7.6%,2.98%,3.29%,5.24%,5.3%,2.37%,2.17%,2.3%,9.59%,7.47%,2.36%,7.74%,6.98%,3.24%,1.8%,.34%,.24%,2.92%,7.12%,5.39%,1.29%,3.09%,3.1%,3.23%,3.54%,2.76%,3.56%,5.23%,5.08%,.69%,-5.88%,-3.31%,-.78%,3.96%,4.23%,3.66%,6.4%,5.45%,4.39%,5.75%,2.64%,1.69%,2.01%,4.01%,2.78%,4.02%,5.31%,.78%,-8.08%,3.17%,2.39%,-1.52%,-.98%,-.48%,.47%,2.57%,3.3%,1.19%,1.35%,-2.49%,2.73%,1.45%,-1.16%
Fiji,FJI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.52%,3.61%,6.36%,4.88%,-2.7%,.%,13.35%,7.92%,2.6%,12.7%,6.89%,7.49%,11.61%,2.6%,.53%,2.74%,5.9%,1.86%,12.22%,-1.6%,6.33%,-5.98%,-3.96%,8.39%,-4.61%,7.75%,-6.62%,.96%,7.44%,5.8%,-2.7%,6.1%,2.13%,5.1%,2.5%,4.8%,-2.2%,1.3%,8.8%,-1.7%,2.%,3.2%,1.%,5.3%,.7%,1.85%,-.85%,1.03%,-1.39%,2.95%,2.71%,1.41%,4.73%,5.6%,4.5%,2.45%,5.35%,3.81%,-.58%,-17.04%,-4.88%,19.79%,7.52%
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.8%,6.87%,6.2%,6.43%,4.81%,5.21%,4.9%,4.45%,7.11%,6.2%,5.33%,4.54%,6.61%,4.69%,-1.12%,4.39%,3.57%,3.89%,3.7%,1.68%,1.19%,2.44%,1.26%,1.61%,1.57%,2.39%,2.55%,4.81%,4.41%,2.83%,1.24%,1.52%,-.36%,2.38%,2.3%,1.4%,2.53%,3.45%,3.4%,4.14%,1.9%,1.07%,.97%,2.87%,1.89%,2.71%,2.53%,.38%,-2.82%,2.%,2.44%,.18%,.78%,1.%,1.07%,.86%,2.08%,1.65%,2.03%,-7.44%,6.88%,2.57%,.94%
Faroe Islands,FRO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.55%,-.38%,3.57%,7.08%,5.86%,5.43%,.96%,1.39%,3.51%,2.76%,4.54%,-1.64%,5.5%,3.56%,2.49%
"Micronesia, Fed. Sts.",FSM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,2.3%,1.07%,33.93%,15.33%,.07%,.36%,2.43%,5.64%,2.12%,-7.2%,9.72%,-2.62%,1.93%,-3.95%,16.55%,7.98%,1.2%,2.55%,3.53%,3.74%,7.43%,4.01%,8.14%,-.53%,7.01%,-3.18%,-6.06%,2.85%,1.37%,4.83%,2.17%,.55%,1.57%,-3.08%,2.04%,-.08%,-1.84%,-2.41%,1.09%,2.26%,3.19%,-1.87%,-3.68%,-2.31%,4.62%,.48%,.82%,.%,4.08%,-1.96%,2.8%,-.78%,.78%
Gabon,GAB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,14.77%,7.45%,6.09%,4.55%,8.33%,4.51%,4.12%,2.51%,8.08%,8.68%,10.26%,11.34%,10.18%,39.49%,19.19%,35.63%,-12.58%,-24.05%,.47%,2.55%,5.1%,-3.1%,5.61%,7.51%,-2.33%,-.8%,-17.15%,12.85%,8.55%,5.19%,6.11%,-3.09%,3.95%,3.71%,4.97%,3.63%,5.74%,3.48%,-8.93%,-1.88%,2.14%,-.25%,2.25%,.69%,2.68%,-2.81%,6.01%,-3.31%,.13%,7.09%,7.09%,5.25%,5.64%,4.31%,3.88%,2.09%,.47%,.84%,3.92%,-1.84%,1.47%,3.04%,2.45%
United Kingdom,GBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.7%,1.1%,4.86%,5.59%,2.13%,1.57%,2.78%,5.47%,1.94%,2.71%,3.5%,4.32%,6.52%,-2.48%,-1.47%,2.91%,2.46%,4.2%,3.75%,-2.03%,-.79%,1.99%,4.22%,2.27%,4.15%,3.15%,5.39%,5.73%,2.58%,.73%,-1.1%,.4%,2.49%,3.85%,2.53%,2.58%,4.92%,3.4%,3.06%,4.34%,2.57%,1.8%,3.15%,2.46%,2.73%,2.38%,2.62%,-.25%,-4.62%,2.23%,1.14%,1.51%,1.8%,3.19%,2.22%,1.92%,2.66%,1.41%,1.62%,-10.3%,8.58%,4.84%,.34%
Georgia,GEO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.87%,5.11%,4.2%,5.43%,10.56%,7.54%,6.25%,4.46%,4.78%,12.05%,2.47%,2.84%,6.48%,8.81%,7.38%,6.1%,6.89%,7.43%,7.37%,4.58%,5.27%,2.%,4.3%,5.43%,4.94%,-8.18%,1.28%,5.56%,-7.19%,-14.79%,-21.1%,-44.9%,-29.3%,-10.4%,2.6%,11.2%,10.52%,3.1%,2.87%,1.84%,4.81%,5.47%,11.06%,5.79%,9.59%,9.42%,12.58%,2.42%,-3.65%,6.25%,7.93%,6.58%,5.13%,4.09%,3.35%,3.45%,5.16%,6.06%,5.38%,-6.29%,10.64%,10.96%,7.83%
